"R"	"threshold"	"wallclock_time"	"p67ci"	"p95ci"	"p99ci"	"p1σ"	"p2σ"	"p3σ"	"mean"	"avg_percent_error"	"dist"	"p"
50	0.05	163.72799999999745	63	93	99	100	100	100	93.93755170454702	-0.0038646940609130542	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
50	0.1	44.615999999993015	70	97	99	100	100	100	93.93755170454702	-0.0023208731442232455	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
50	0.2	13.560000000003981	71	97	99	100	100	100	93.93755170454702	-0.03263182838620815	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
100	0.05	223.90499999998585	57	95	99	100	100	100	93.93755170454702	-0.012773034891701895	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
100	0.1	62.86500000002173	62	93	99	100	100	100	93.93755170454702	-0.020251414297334458	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
100	0.2	18.41400000000975	67	98	99	100	100	100	93.93755170454702	-0.0119675003256976	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
150	0.05	283.4580000000936	61	100	100	100	100	100	93.93755170454702	0.004517358545010897	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
150	0.1	78.5819999999863	69	93	98	100	100	100	93.93755170454702	-0.02780196245251698	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
150	0.2	22.889999999995766	64	98	100	100	100	100	93.93755170454702	-0.01703495765966645	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
200	0.05	345.7289999998839	66	96	99	100	100	100	93.93755170454702	-0.01594044826533847	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
200	0.1	96.59400000003905	64	96	100	100	100	100	93.93755170454702	-0.01240093429674305	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
200	0.2	28.918530000012563	65	96	99	100	100	100	93.93755170454702	-0.12039537889074392	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
